               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10605,             0.12113,            0.081762,           0.0030099,            0.066813,           0.0036896,          0.00049481,            0.096975,            0.099039,            0.079894,              0.0025,              0.0025,              0.0775
                   1,            0.091753,             0.13389,            0.077856,             0.12068,            0.033211,             0.01207,           0.0036484,            0.079679,            0.083051,            0.074174,           0.0050899,           0.0050899,             0.05409
                   2,            0.086578,             0.10691,             0.06968,             0.55338,            0.017585,           0.0023372,           0.0010964,             0.11552,               0.277,            0.079919,           0.0076695,           0.0076695,             0.03067
                   3,             0.10301,            0.083897,            0.063217,            0.053418,            0.020857,           0.0014302,          0.00028786,              0.1271,            0.035783,            0.068729,           0.0099406,           0.0099406,           0.0099406
                   4,             0.11324,            0.062687,            0.061458,             0.16762,            0.035297,           0.0060205,           0.0029556,             0.10586,            0.053134,            0.067442,           0.0099406,           0.0099406,           0.0099406
                   5,              0.0982,            0.073634,            0.060714,            0.064701,             0.10579,            0.025747,           0.0096745,            0.093975,            0.047212,            0.069557,           0.0099208,           0.0099208,           0.0099208
                   6,            0.088775,            0.074336,            0.059776,             0.71261,            0.084704,             0.01343,           0.0021895,            0.092562,            0.045198,            0.065295,            0.009901,            0.009901,            0.009901
                   7,            0.093427,            0.067317,            0.057194,            0.065557,             0.18026,             0.02359,            0.007004,             0.10362,            0.036442,            0.063798,           0.0098812,           0.0098812,           0.0098812
                   8,            0.090213,            0.058585,             0.05616,             0.37619,             0.13344,            0.083493,            0.027881,            0.086488,             0.04611,            0.062459,           0.0098614,           0.0098614,           0.0098614
                   9,            0.084307,            0.077787,            0.054466,             0.67896,            0.053178,            0.034297,            0.013381,            0.087003,            0.040462,            0.061684,           0.0098416,           0.0098416,           0.0098416
                  10,            0.082056,            0.076325,            0.055226,             0.42518,             0.20419,              0.1126,            0.037852,            0.082083,            0.044702,            0.060708,           0.0098218,           0.0098218,           0.0098218
